id,name,image_url
1,مجموعة مكعبات بناء خشبية,https://loremflickr.com/cache/resized/4174_34532441815_7ba62cfee6_400_300_nofilter.jpg
2,مجموعة بلاطات مغناطيسية للبناء,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
3,سيارة سباق بالتحكم عن بعد,https://loremflickr.com/cache/resized/8307_7805488150_7dd9af7d86_400_300_nofilter.jpg
4,تي شيرت قطني برقبة دائرية,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
5,عطر عود ورد,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
6,دب تيدي محشو,https://loremflickr.com/cache/resized/65535_52296865264_a1fc82cbd1_400_300_nofilter.jpg
7,كولونيا حمضيات منعشة,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
8,عطر فانيليا وعنبر,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
9,عطر ياسمين ومسك,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
10,حصيرة يوغا,https://loremflickr.com/cache/resized/65535_54260447218_08e5d4f45f_400_300_nofilter.jpg
11,زوج دمبل قابل للتعديل,https://loremflickr.com/cache/resized/1860_42848149690_f9496e2ff0_z_400_300_nofilter.jpg
12,قلاية هوائية,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
13,أطلس العالم بغلاف صلب,https://loremflickr.com/cache/resized/65535_51521908026_edd7b2482a_400_300_nofilter.jpg
14,مجموعة مجسمات ديناصورات,https://loremflickr.com/cache/resized/65535_49099690447_799839ce00_400_300_nofilter.jpg
15,سماعات بلوتوث لاسلكية,https://loremflickr.com/cache/resized/65535_50837098911_a9d1af45a5_z_400_300_nofilter.jpg
16,عطر خشب الصندل والتوابل,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
17,كولونيا نسيم البحر,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
18,جينز دنيم بقصة ضيقة,https://loremflickr.com/cache/resized/65535_53217199624_a661391a1c_z_400_300_nofilter.jpg
19,بخاخ جسم شاي أبيض,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
20,غلاية كهربائية,https://loremflickr.com/cache/resized/65535_53483546735_d647845456_400_300_nofilter.jpg
21,سويت شيرت بغطاء رأس,https://loremflickr.com/cache/resized/2789_4017285458_0df333c566_400_300_nofilter.jpg
22,سماعات أذن عازلة للضوضاء,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
23,عطر لافندر ليلي,https://loremflickr.com/cache/resized/788_26592068707_98e151ee38_z_400_300_nofilter.jpg
24,قميص كتان بأزرار,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
25,طقم طبيب للأطفال,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
26,طقم مطبخ ألعاب,https://loremflickr.com/cache/resized/7053_6934238610_00c1590819_400_300_nofilter.jpg
27,مكنسة روبوتية,https://loremflickr.com/cache/resized/65535_49078151552_0f2949ffda_400_300_nofilter.jpg
28,مجموعة أشرطة مقاومة,https://loremflickr.com/cache/resized/1813_30025304698_22b0cfb09f_c_400_300_nofilter.jpg
29,هاتف ذكي,https://loremflickr.com/cache/resized/65535_54584859375_2eff7b0708_400_300_nofilter.jpg
30,كتاب برمجة بايثون للمبتدئين,https://loremflickr.com/cache/resized/5565_31507959995_9036c9e8aa_400_300_nofilter.jpg
31,حلقات تكديس للأطفال,https://loremflickr.com/cache/resized/2702_4394077995_d256981194_z_400_300_nofilter.jpg
32,كراسة تعليم الخط العربي,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
33,معطف صوف مخلوط,https://loremflickr.com/cache/resized/65535_51821513909_ff8788b523_400_300_nofilter.jpg
34,آلة قهوة إسبرسو,https://loremflickr.com/cache/resized/65535_50056475698_81879ec482_400_300_nofilter.jpg
35,جاكيت شتوي منفوخ,https://loremflickr.com/cache/resized/65535_49428758946_6323cd47c3_400_300_nofilter.jpg
36,بنطال تشينو كاجوال,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
37,حزام خصر للجري,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
38,فرن ميكروويف,https://loremflickr.com/cache/resized/8232_8569862422_cb4b245ae3_z_400_300_nofilter.jpg
39,عطر باتشولي نوير,https://loremflickr.com/cache/resized/defaultImage.small_400_300_nofilter.jpg
40,عجانة كهربائية,https://loremflickr.com/cache/resized/7624_16896364601_c76da3d4ba_400_300_nofilter.jpg
